Admin2,9/19/20
Autauga,24
Baldwin,49
Barbour,7
Bibb,10
Blount,14
Bullock,14
Butler,38
Calhoun,39
Chambers,42
Cherokee,16
Chilton,27
Choctaw,12
Clarke,17
Clay,7
Cleburne,6
Coffee,8
Colbert,26
Conecuh,11
Coosa,3
Covington,27
Crenshaw,31
Cullman,17
Dale,43
Dallas,26
DeKalb,19
Elmore,47
Escambia,25
Etowah,47
Fayette,9
Franklin,28
Geneva,4
Greene,15
Hale,28
Henry,4
Houston,22
Jackson,11
Jefferson,337
Lamar,2
Lauderdale,33
Lawrence,20
Lee,59
Limestone,19
Lowndes,27
Macon,20
Madison,75
Marengo,19
Marion,28
Marshall,43
Mobile,289
Monroe,8
Montgomery,173
Morgan,26
Out of AL,0
Perry,6
Pickens,14
Pike,9
Randolph,12
Russell,2
Shelby,50
St. Clair,35
Sumter,19
Talladega,26
Tallapoosa,83
Tuscaloosa,114
Unassigned,0
Walker,80
Washington,13
Wilcox,11
Winston,12
Aleutians East,0
Aleutians West,0
Anchorage,28
Bethel,1
Bristol Bay,0
Denali,0
Dillingham,0
Fairbanks North Star,9
Haines,0
Hoonah-Angoon,0
Juneau,1
Kenai Peninsula,2
Ketchikan Gateway,0
Kodiak Island,0
Kusilvak,0
Lake and Peninsula,0
Matanuska-Susitna,2
Nome,0
North Slope,0
Northwest Arctic,0
Out of AK,0
Petersburg,1
Prince of Wales-Hyder,0
Sitka,0
Skagway,0
Southeast Fairbanks,0
Unassigned,0
Valdez-Cordova,0
Wrangell,0
Yakutat,0
Yukon-Koyukuk,1
,0
Apache,161
Cochise,69
Coconino,133
Gila,51
Graham,24
Greenlee,0
La Paz,15
Maricopa,3245
Mohave,222
Navajo,231
Out of AZ,0
Pima,613
Pinal,202
Santa Cruz,62
Unassigned,2
Yavapai,79
Yuma,342
Arkansas,4
Ashley,9
Baxter,1
Benton,79
Boone,8
Bradley,7
Calhoun,0
Carroll,9
Chicot,17
Clark,4
Clay,7
Cleburne,8
Cleveland,10
Columbia,18
Conway,3
Craighead,20
Crawford,15
Crittenden,45
Cross,7
Dallas,2
Desha,5
Drew,6
Faulkner,17
Franklin,2
Fulton,3
Garland,48
Grant,2
Greene,7
Hempstead,4
Hot Spring,25
Howard,8
Independence,14
Izard,0
Jackson,1
Jefferson,62
Johnson,5
Lafayette,2
Lawrence,11
Lee,18
Lincoln,15
Little River,24
Logan,1
Lonoke,10
Madison,2
Marion,0
Miller,11
Mississippi,50
Monroe,0
Montgomery,4
Nevada,13
Newton,18
Ouachita,6
Out of AR,0
Perry,0
Phillips,11
Pike,3
Poinsett,9
Polk,4
Pope,29
Prairie,1
Pulaski,136
Randolph,22
Saline,20
Scott,1
Searcy,0
Sebastian,56
Sevier,16
Sharp,6
St. Francis,5
Stone,7
Unassigned,0
Union,31
Van Buren,2
Washington,107
White,19
Woodruff,0
Yell,29
Alameda,374
Alpine,0
Amador,16
Butte,35
Calaveras,14
Colusa,6
Contra Costa,199
Del Norte,1
El Dorado,4
Fresno,355
Glenn,3
Humboldt,6
Imperial,314
Inyo,14
Kern,350
Kings,77
Lake,10
Lassen,0
Los Angeles,6330
Madera,58
Marin,112
Mariposa,2
Mendocino,18
Merced,134
Modoc,0
Mono,2
Monterey,66
Napa,13
Nevada,6
Orange,1127
Out of CA,0
Placer,41
Plumas,0
Riverside,1153
Sacramento,375
San Benito,11
San Bernardino,908
San Diego,796
San Francisco,97
San Joaquin,414
San Luis Obispo,27
San Mateo,143
Santa Barbara,110
Santa Clara,296
Santa Cruz,8
Shasta,14
Sierra,0
Siskiyou,0
Solano,55
Sonoma,114
Stanislaus,332
Sutter,10
Tehama,4
Trinity,0
Tulare,256
Tuolumne,4
Unassigned,0
Ventura,143
Yolo,54
Yuba,7
Adams,220
Alamosa,9
Arapahoe,369
Archuleta,0
Baca,0
Bent,0
Boulder,79
Broomfield,33
Chaffee,19
Cheyenne,0
Clear Creek,1
Conejos,0
Costilla,1
Crowley,1
Custer,0
Delta,3
Denver,431
Dolores,0
Douglas,60
Eagle,9
El Paso,167
Elbert,3
Fremont,1
Garfield,5
Gilpin,0
Grand,1
Gunnison,7
Hinsdale,0
Huerfano,1
Jackson,0
Jefferson,247
Kiowa,0
Kit Carson,3
La Plata,2
Lake,0
Larimer,49
Las Animas,0
Lincoln,0
Logan,5
Mesa,6
Mineral,0
Moffat,1
Montezuma,5
Montrose,13
Morgan,48
Otero,6
Ouray,1
Out of CO,0
Park,1
Phillips,0
Pitkin,2
Prowers,0
Pueblo,34
Rio Blanco,0
Rio Grande,2
Routt,8
Saguache,2
San Juan,0
San Miguel,0
Sedgwick,1
Summit,4
Teller,4
Unassigned,0
Washington,0
Weld,149
Yuma,0
Fairfield,1420
Hartford,1434
Litchfield,140
Middlesex,193
New Haven,1111
New London,114
Out of CT,0
Tolland,65
Unassigned,0
Windham,15
Kent,113
New Castle,307
Out of DE,0
Sussex,201
Unassigned,0
,0
District of Columbia,619
Out of DC,0
Unassigned,0
Alachua,46
Baker,11
Bay,94
Bradford,7
Brevard,276
Broward,1319
Calhoun,10
Charlotte,131
Citrus,84
Clay,91
Collier,202
Columbia,50
DeSoto,23
Dixie,6
Duval,353
Escambia,217
Flagler,23
Franklin,3
Gadsden,44
Gilchrist,12
Glades,4
Gulf,14
Hamilton,8
Hardee,10
Hendry,42
Hernando,112
Highlands,81
Hillsborough,604
Holmes,5
Indian River,109
Jackson,76
Jefferson,8
Lafayette,12
Lake,169
Lee,459
Leon,57
Levy,9
Liberty,7
Madison,18
Manatee,277
Marion,259
Martin,132
Miami-Dade,3055
Monroe,22
Nassau,37
Okaloosa,100
Okeechobee,23
Orange,432
Osceola,137
Out of FL,0
Palm Beach,1277
Pasco,199
Pinellas,721
Polk,507
Putnam,38
Santa Rosa,69
Sarasota,246
Seminole,200
St. Johns,66
St. Lucie,263
Sumter,65
Suwannee,65
Taylor,12
